note,midi_number,pitch,octave,frequency_hz,dynamic,velocity_min,velocity_max,exists,aiff_path,wav_path,file_size_bytes,sample_rate,channels,bit_depth
Bb1,34,Bb,1,58.27,pp,1,55,True,pp/Piano.pp.Bb1.aiff,wav/pp/Piano.pp.Bb1.wav,7585622,44100,2,16
Bb1,34,Bb,1,58.27,mf,56,95,True,mf/Piano.mf.Bb1.aiff,wav/mf/Piano.mf.Bb1.wav,9884910,44100,2,16
Bb1,34,Bb,1,58.27,ff,96,127,True,ff/Piano.ff.Bb1.aiff,wav/ff/Piano.ff.Bb1.wav,11015274,44100,2,16
B1,35,B,1,61.74,pp,1,55,True,pp/Piano.pp.B1.aiff,wav/pp/Piano.pp.B1.wav,7088370,44100,2,16
B1,35,B,1,61.74,mf,56,95,True,mf/Piano.mf.B1.aiff,wav/mf/Piano.mf.B1.wav,9353238,44100,2,16
B1,35,B,1,61.74,ff,96,127,True,ff/Piano.ff.B1.aiff,wav/ff/Piano.ff.B1.wav,13567614,44100,2,16
C2,36,C,2,65.41,pp,1,55,True,pp/Piano.pp.C2.aiff,wav/pp/Piano.pp.C2.wav,8298822,44100,2,16
C2,36,C,2,65.41,mf,56,95,True,mf/Piano.mf.C2.aiff,wav/mf/Piano.mf.C2.wav,9033438,44100,2,16
C2,36,C,2,65.41,ff,96,127,True,ff/Piano.ff.C2.aiff,wav/ff/Piano.ff.C2.wav,9257398,44100,2,16
Db2,37,Db,2,69.3,pp,1,55,True,pp/Piano.pp.Db2.aiff,wav/pp/Piano.pp.Db2.wav,6988426,44100,2,16
Db2,37,Db,2,69.3,mf,56,95,True,mf/Piano.mf.Db2.aiff,wav/mf/Piano.mf.Db2.wav,12957754,44100,2,16
Db2,37,Db,2,69.3,ff,96,127,True,ff/Piano.ff.Db2.aiff,wav/ff/Piano.ff.Db2.wav,11690206,44100,2,16
D2,38,D,2,73.42,pp,1,55,True,pp/Piano.pp.D2.aiff,wav/pp/Piano.pp.D2.wav,7394414,44100,2,16
D2,38,D,2,73.42,mf,56,95,True,mf/Piano.mf.D2.aiff,wav/mf/Piano.mf.D2.wav,9921962,44100,2,16
D2,38,D,2,73.42,ff,96,127,True,ff/Piano.ff.D2.aiff,wav/ff/Piano.ff.D2.wav,10173654,44100,2,16
Eb2,39,Eb,2,77.78,pp,1,55,True,pp/Piano.pp.Eb2.aiff,wav/pp/Piano.pp.Eb2.wav,7855778,44100,2,16
Eb2,39,Eb,2,77.78,mf,56,95,True,mf/Piano.mf.Eb2.aiff,wav/mf/Piano.mf.Eb2.wav,9773874,44100,2,16
Eb2,39,Eb,2,77.78,ff,96,127,True,ff/Piano.ff.Eb2.aiff,wav/ff/Piano.ff.Eb2.wav,10110462,44100,2,16
E2,40,E,2,82.41,pp,1,55,True,pp/Piano.pp.E2.aiff,wav/pp/Piano.pp.E2.wav,7380262,44100,2,16
E2,40,E,2,82.41,mf,56,95,True,mf/Piano.mf.E2.aiff,wav/mf/Piano.mf.E2.wav,9218546,44100,2,16
E2,40,E,2,82.41,ff,96,127,True,ff/Piano.ff.E2.aiff,wav/ff/Piano.ff.E2.wav,9984086,44100,2,16
F2,41,F,2,87.31,pp,1,55,True,pp/Piano.pp.F2.aiff,wav/pp/Piano.pp.F2.wav,5864006,44100,2,16
F2,41,F,2,87.31,mf,56,95,True,mf/Piano.mf.F2.aiff,wav/mf/Piano.mf.F2.wav,9107482,44100,2,16
F2,41,F,2,87.31,ff,96,127,True,ff/Piano.ff.F2.aiff,wav/ff/Piano.ff.F2.wav,8720286,44100,2,16
Gb2,42,Gb,2,92.5,pp,1,55,True,pp/Piano.pp.Gb2.aiff,wav/pp/Piano.pp.Gb2.wav,6486498,44100,2,16
Gb2,42,Gb,2,92.5,mf,56,95,True,mf/Piano.mf.Gb2.aiff,wav/mf/Piano.mf.Gb2.wav,7640958,44100,2,16
Gb2,42,Gb,2,92.5,ff,96,127,True,ff/Piano.ff.Gb2.aiff,wav/ff/Piano.ff.Gb2.wav,8277958,44100,2,16
G2,43,G,2,98.0,pp,1,55,True,pp/Piano.pp.G2.aiff,wav/pp/Piano.pp.G2.wav,6403054,44100,2,16
G2,43,G,2,98.0,mf,56,95,True,mf/Piano.mf.G2.aiff,wav/mf/Piano.mf.G2.wav,7079334,44100,2,16
G2,43,G,2,98.0,ff,96,127,True,ff/Piano.ff.G2.aiff,wav/ff/Piano.ff.G2.wav,8214770,44100,2,16
Ab2,44,Ab,2,103.83,pp,1,55,True,pp/Piano.pp.Ab2.aiff,wav/pp/Piano.pp.Ab2.wav,7466742,44100,2,16
Ab2,44,Ab,2,103.83,mf,56,95,True,mf/Piano.mf.Ab2.aiff,wav/mf/Piano.mf.Ab2.wav,7673194,44100,2,16
Ab2,44,Ab,2,103.83,ff,96,127,True,ff/Piano.ff.Ab2.aiff,wav/ff/Piano.ff.Ab2.wav,8056794,44100,2,16
A2,45,A,2,110.0,pp,1,55,True,pp/Piano.pp.A2.aiff,wav/pp/Piano.pp.A2.wav,6518630,44100,2,16
A2,45,A,2,110.0,mf,56,95,True,mf/Piano.mf.A2.aiff,wav/mf/Piano.mf.A2.wav,6923190,44100,2,16
A2,45,A,2,110.0,ff,96,127,True,ff/Piano.ff.A2.aiff,wav/ff/Piano.ff.A2.wav,8138518,44100,2,16
Bb2,46,Bb,2,116.54,pp,1,55,True,pp/Piano.pp.Bb2.aiff,wav/pp/Piano.pp.Bb2.wav,4864938,44100,2,16
Bb2,46,Bb,2,116.54,mf,56,95,True,mf/Piano.mf.Bb2.aiff,wav/mf/Piano.mf.Bb2.wav,7590314,44100,2,16
Bb2,46,Bb,2,116.54,ff,96,127,True,ff/Piano.ff.Bb2.aiff,wav/ff/Piano.ff.Bb2.wav,8980482,44100,2,16
B2,47,B,2,123.47,pp,1,55,True,pp/Piano.pp.B2.aiff,wav/pp/Piano.pp.B2.wav,6840030,44100,2,16
B2,47,B,2,123.47,mf,56,95,True,mf/Piano.mf.B2.aiff,wav/mf/Piano.mf.B2.wav,8197930,44100,2,16
B2,47,B,2,123.47,ff,96,127,True,ff/Piano.ff.B2.aiff,wav/ff/Piano.ff.B2.wav,9099426,44100,2,16
C3,48,C,3,130.81,pp,1,55,True,pp/Piano.pp.C3.aiff,wav/pp/Piano.pp.C3.wav,6798614,44100,2,16
C3,48,C,3,130.81,mf,56,95,True,mf/Piano.mf.C3.aiff,wav/mf/Piano.mf.C3.wav,7293410,44100,2,16
C3,48,C,3,130.81,ff,96,127,True,ff/Piano.ff.C3.aiff,wav/ff/Piano.ff.C3.wav,8001522,44100,2,16
Db3,49,Db,3,138.59,pp,1,55,True,pp/Piano.pp.Db3.aiff,wav/pp/Piano.pp.Db3.wav,5134818,44100,2,16
Db3,49,Db,3,138.59,mf,56,95,True,mf/Piano.mf.Db3.aiff,wav/mf/Piano.mf.Db3.wav,7145322,44100,2,16
Db3,49,Db,3,138.59,ff,96,127,True,ff/Piano.ff.Db3.aiff,wav/ff/Piano.ff.Db3.wav,8044774,44100,2,16
D3,50,D,3,146.83,pp,1,55,True,pp/Piano.pp.D3.aiff,wav/pp/Piano.pp.D3.wav,6405702,44100,2,16
D3,50,D,3,146.83,mf,56,95,True,mf/Piano.mf.D3.aiff,wav/mf/Piano.mf.D3.wav,7811718,44100,2,16
